src,trg
Disentangling small-polaron and Anderson-localization effects in ceria: Combined experimental and first-principles study,Projector augmented-wave method
Slowly rotating relativistic stars in tensor-vector-scalar theory,Stellar oscillations in scalar-tensor theory of gravity
Pressure and magnetic field effects on metal-insulator transitions of bulk and domain wall states in pyrochlore iridates,RKKY Interactions and the Anomalous Hall Effect in Metallic Rare-Earth Pyrochlores
Hyperon radiative decay,Baryon decays in a quark model with chromodynamics
Grain-boundary effect in calcium thin films,Electronic structure and optical properties of metallic calcium
Non-Hermitian engineering for brighter broadband pseudothermal light,Classical simulation of squeezed light in optical waveguide arrays
Bound on Screening Corrections in Beta Decay,Analytical Representation of Hartree Potentials and Electron Scattering
Shear viscosity in the Nambu–Jona-Lasinio model with Φ-derivable approximations,Towards next-to-leading order transport coefficients from the four-particle irreducible effective action
Gradient dynamics models for liquid films with soluble surfactant,Chemosensitive running droplet
Determining which quantum measurement performs better for state estimation,Operational Tomography: Fitting of Data Patterns
Magnetism in a lattice of spinor Bose-Einstein condensates,Nature of spinor Bose-Einstein condensates in rubidium
First-order depinning transition of a driven interface in disordered media,Anisotropic Scaling in Depinning of a Flux Line
New Mechanism for a Charge-Density-Wave Instability,Exchange and Correlation Instabilities of Simple Metals
Mean-field theory of localization in a fuse model,Quantitative analysis of a fracture surface by atomic force microscopy
Topological Bloch oscillations,Topology of nonsymmorphic crystalline insulators and superconductors
"Running neutrino masses, leptonic mixing angles, and CP-violating phases: From MZ to ΛGUT",Large neutrino mixing from renormalization group evolution
Phase-field study of spacing evolution during transient growth,Phase-field study of three-dimensional steady-state growth shapes in directional solidification
High-Tc superconductors: Disordered metals with pairing via polarizability from localized states near the mobility edge,Observation of temperature-dependent site disorder in YBa2Cu3O7−δ below 150 °C
Low-energy differential scattering of electrons and positrons from noble gases,Evidence for absorption effects in positron elastic scattering by argon
Distinction of Acoustically Induced Transparency and Autler-Townes Splitting by Helmholtz Resonators,Homogenization scheme for acoustic metamaterials
Active motion assisted by correlated stochastic torques,On the Theory of the Brownian Motion
Quantum disordered regime and spin gap in the cuprate superconductors,Cu and O NMR studies of the magnetic properties of YBa2Cu3O6.63 (Tc=62 K)
Three-dimensional dynamics of oblate and prolate capsules in shear flow,Effect of bending stiffness on the deformation of liquid capsules enclosed by thin shells in shear flow
Au and Fe magnetic moments in disordered Au-Fe alloys,Direct Observation of Ferromagnetic Spin Polarization in Gold Nanoparticles
Edge Dynamics in a Quantum Spin Hall State: Effects from Rashba Spin-Orbit Interaction,Tunneling between Edge States in a Quantum Spin Hall System
Calculated energy levels of thallium and eka-thallium (element 113),Transition energies of mercury and ekamercury (element 112) by the relativistic coupled-cluster method
Dimer-dimer collisions at finite energies in two-component Fermi gases,Crossover from a Molecular Bose-Einstein Condensate to a Degenerate Fermi Gas
Sponge phase of surfactant solutions: An unusual dynamic structure factor,Theory of dynamic critical phenomena
Solitary-wave velocity selection in self-induced transparency,Self-Induced Transparency in Semiconductors
Ionization Induced Scattering of Short Intense Laser Pulses,"Electron cavitation and acceleration in the wake of an ultraintense, self-focused laser pulse"
Pseudotensor meson family,Spectra and strong decays of cc¯ and bb¯ states
Prediction for the mass spectra of resonance mesons in the soft-wall AdS/QCD model with a modified 5D metric,Determination of the Pion Charge Form Factor at Q2=1.60 and 2.45  (GeV/c)2
Disappearance of the dressed bound states in photodetachment from a short-range potential by an intense high-frequency laser field,"Movement and interplay of the bound state, resonance, and shadow poles of the scattering amplitude in multiphoton processes"
Enhancement of Superconductivity in Aluminum Films,Effect of Fluctuations in the Superconducting Order Parameter on the Tunneling Density of States
Evanescent-wave dynamic light scattering at an oil-water interface: Diffusion of interface-adsorbed colloids,Measurement of anisotropic Brownian motion near an interface by evanescent light-scattering spectroscopy
Spin Hall effect in two-dimensional p-type semiconductors in a magnetic field,Dependence of the intrinsic spin-Hall effect on spin-orbit interaction character
Dephasing effects on ac-driven triple quantum dot systems,Kondo Screening in a Magnetically Frustrated Nanostructure: Exact Results on a Stable Non-Fermi-Liquid Phase
Neutrino quantum kinetics,Self-induced conversion in dense neutrino gases: Pendulum in flavor space
Can the diphoton enhancement at 750 GeV be due to a neutral technipion?,γγ processes at high energy pp colliders
Satellite-Relayed Intercontinental Quantum Network,Measurement-Device-Independent Quantum Key Distribution Over a 404 km Optical Fiber
Two-dimensional t-J model at low electron density,"Finite-size study of the ground-state energy, susceptibility, and spin-wave velocity for the Heisenberg antiferromagnet"
2π/emph&gt; resonance features in the electronic spectra of chemisorbed CO,Singularities in the X-Ray Absorption and Emission of Metals. III. One-Body Theory Exact Solution
Deep Inelastic Scattering on Ultracold Gases,Helium at zero temperature with hard-sphere and other forces
Growth of germanium films on Si(001) substrates,Microstructure and strain relief of Ge films grown layer by layer on Si(001)
Sequential partitioning: An alternative to understanding size distributions of avalanches in first-order phase transitions,Model of a fragmentation process and its power-law behavior
Weak values as interference phenomena,Properties of a quantum system during the time interval between two measurements
Prominent Quasiparticle Peak in the Photoemission Spectrum of the Metallic Phase of V2O3,Valence state at the surface of rare-earth metals
Graphene hyperlens for terahertz radiation,Subwavelength microwave imaging using an array of parallel conducting wires as a lens
Physical nature of the central singularity in spherical collapse,Naked singularity formation in the collapse of a spherical cloud of counterrotating particles
Low field electron-nuclear spin coupling in gallium arsenide under optical pumping conditions,Overhauser Effect in Metallic Lithium
Experimental evidence for hotspot and phase-slip mechanisms of voltage switching in ultrathin YBa2Cu3O7–x nanowires,Unstable Flux Flow due to Heated Electrons in Superconducting Films
Regarding the scalar mesons,"Systematics of heavy quarkonia from Regge trajectories on (n,M2) and (M2,J) planes"
Surface diffusion of single vacancies on Ge(111)−c(2×8) studied by variable temperature scanning tunneling microscopy,Direct Determination of the Interaction between Vacancies on InP(110) Surfaces
Orienting coupled quantum rotors by ultrashort laser pulses,Experimental Observation of Revival Structures in Picosecond Laser-Induced Alignment of I2
Surface wave propagation of thin liquid films on a rotating and nonrotating disk,Long-scale evolution of thin liquid films
Imitation games:  Power-law sensitivity to initial conditions and nonextensivity,Long-range interactions and nonextensivity in ferromagnetic spin models
Electronic Structure of the √3×√3−α and 3×3 Periodicities of Sn/Ge(111),Strong Correlation Effects in the ( 3×3) Charge Density Wave Phase of Sn/Ge(111)
Decay of a Quasiparticle in a Quantum Dot: The Role of Energy Resolution,Quasiparticle Lifetime in a Finite System: A Nonperturbative Approach
Studies in the statistical and thermal properties of hadronic matter under some extreme conditions,Nuclear condensation
Orbital angular momentum in deep inelastic scattering,Light-front QCD. II. Two-component theory
"States in Si28 with 12.7&lt;Ex&lt;13.7 MeV by (α,γ) and (α,α) Reactions on Mg24",Energy Levels in Si28 Excited by Alpha-Particles on Mg24
Temperature-dependent symmetry energy of neutron-rich thermally fissile nuclei,Symmetry energy of hot nuclei in the relativistic Thomas-Fermi approximation
Gravitational effects in g-factor measurements and high-precision spectroscopy: Limits of Einstein's equivalence principle,Gravitational red-shift measurements as tests of nonmetric theories of gravity
Graphene as a tunable THz reservoir for shaping the Mollow triplet of an artificial atom via plasmonic effects,Green-function approach to the radiation-field quantization for homogeneous and inhomogeneous Kramers-Kronig dielectrics
Structural Relaxation is a Scale-Free Process,Soft Modes and Nonaffine Rearrangements in the Inherent Structures of Supercooled Liquids
Magnetic properties of Fe2O3(0001) thin layers studied by soft x-ray linear dichroism,Morin Transition in α-Fe2O3 Microcyrstals
Analytic expression for the mean time to absorption for a random walker on the Sierpinski fractal. III. The effect of non-nearest-neighbor jumps,Renormalization of first-passage times for random walks on deterministic fractals
Jahn-Teller effect in density-functional theory,The physics of simple metal clusters: self-consistent jellium model and semiclassical approaches
Criterion for the size of the scaling regime for the metal-insulator transition of doped semiconductors,Stability of the wurtzite-type structure under high pressure: GaN and InN
Local atomic structure of superconducting FeSe1−xTex,Phonons in doped and undoped BaFe2As2 investigated by inelastic x-ray scattering
Na-Induced Correlations in NaxCoO2,"Possible effects of charge frustration in NaxCoO2: Bandwidth suppression, charge orders, and resurrected resonating valence bond superconductivity"
Apparent Low-Energy Scale Invariance in Two-Dimensional Fermi Gases,Exploring the Thermodynamics of a Two-Dimensional Bose Gas
Search for perturbations of γ−γ directional correlations,Energy Levels of Pr143
Monte Carlo investigation of the one-dimensional dynamical Potts model,Calculation of the dynamical exponent z for the three-state Potts model
Modeling transport across the running-sandpile cellular automaton by means of fractional transport equations,Anomalous diffusion in a running sandpile model
Tunneling Spectra of Layered Strongly Correlated d-Wave Superconductors,Inherent inhomogeneities in tunneling spectra of Bi2Sr2CaCu2O8−x crystals in the superconducting state
Superconductivity from a pseudogapped normal state: A mode-coupling approach to precursor superconductivity,"Bound states, Cooper pairing, and Bose condensation in two dimensions"
Chiral invariance in a bag theory,Scattering of one-dimensional bags in the interacting string formalism
Magnetism at finite temperature in heavy rare-earth clusters,Structure and Magnetism of Neutral and Anionic Palladium Clusters
Understanding the charmed states recently observed by the LHCb and BaBar Collaborations in the quark model,Possible 2S and 1D charmed and charmed-strange mesons
Properties of the 4.77- and 5.16-MeV States of B10,The Energy Levels and the Structure of Light Nuclei
Amplitude and phase modes in trans-polyacetylene: Resonant Raman scattering and induced infrared activity,Optical absorption from polarons in a model of polyacetylene
Beyond the Young-Laplace model for cluster growth during dewetting of thin films: Effective coarsening exponents and the role of long range dewetting interactions,Dewetting Patterns and Molecular Forces: A Reconciliation
Thermal Conductivity of Superconducting Tin Films in a Magnetic Field,Theory of the Thermal Conductivity of Superconductors
Random-matrix theory of quantum transport,Phase-dependent magnetoconductance fluctuations in a chaotic Josephson junction
Steady-state tokamak discharge via dc helicity injection,Mode-Beating Model of ac Helicity Injection
Anomalous Quasiparticle Symmetries and Non-Abelian Defects on Symmetrically Gapped Surfaces of Weak Topological Insulators,Symmetry enforced non-Abelian topological order at the surface of a topological insulator
Quantum Theory of Spectral Line Broadening,Pressure Broadening in the Microwave and Infra-Red Regions
Magnetic avalanchelike behavior in the disordered manganite (Eu0.4La0.1)(Sr0.4Ca0.1)MnO3,Field-induced magnetization steps in intermetallic compounds and manganese oxides: The martensitic scenario
Design of a three-dimensional photonic band gap cavity in a diamondlike inverse woodpile photonic crystal,Photonic band-gap microcavities in three dimensions
Semiconductor-based tunable photonic crystals by means of an external magnetic field,Strong localization of photons in certain disordered dielectric superlattices
Viscous Lengths in Hydrodynamic Turbulence are Anomalous Scaling Functions,Exact resummations in the theory of hydrodynamic turbulence. III. Scenarios for anomalous scaling and intermittency
Complete set of precise deuteron analyzing powers at intermediate energies: Comparison with modern nuclear force predictions,Parametrization of the Paris N−N potential
Generalized hole-particle transformations and spin reflection positivity in multiorbital systems,Exact demonstration of off-diagonal long-range order in the ground state of a Hubbard model
Spin nematics in frustrated spin-dimer systems with bilayer structure,Quadrupolar order in isotropic Heisenberg models with biquadratic interaction
Decoherence and entanglement in a bosonic Josephson junction: Bose-enhanced quantum Zeno control of phase diffusion,Coherent quantum tunneling between two Bose-Einstein condensates
Neuronal network model of interictal and recurrent ictal activity,Critical phenomena and noise-induced phase transitions in neuronal networks
Laser-driven coupled electron-nuclear dynamics: Quantum mechanical simulation of molecular photodesorption from metal films,Enhancement of femtosecond-laser-induced molecular desorption by thin metal films
Pressure-induced metallization and amorphization in VO2(A) nanorods,Interplay between morphology and metallization in amorphous-amorphous transitions
Quasidegenerate neutrinos in SO(10),Can the SO(10) model with two Higgs doublets reproduce the observed fermion masses?
Direct detection rates of dark matter coupled to dark energy,Experimental Limits on the Dark Matter Halo of the Galaxy from Gravitational Microlensing
Revisiting the matter power spectra in f(R) gravity,Models of f(R) cosmic acceleration that evade solar system tests
Critical field behavior of a multiply connected superconductor in a tilted magnetic field,Magnetoresistance Anisotropy of a One-Dimensional Superconducting Niobium Strip
Imaging Transport Resonances in the Quantum Hall Effect,Scaling theory of the integer quantum Hall effect
"Scaling relation of the anomalous Hall effect in (Ga,Mn)As","Transport properties and origin of ferromagnetism in (Ga,Mn)As"
Zeeman and Coherence Effects in the He-Ne Laser,Theoretical Interpretation of the Polarization Experiment of Wood and Ellett
Electroweak Baryogenesis in a Supersymmetric U(1)′ Model,Implications of Abelian extended gauge structures from string models
New spectral features from bound dark matter,Dark matter in the Solar System. III. The distribution function of WIMPs at the Earth from gravitational capture
Viability of thermal well-tempered dark matter in SUSY GUTs,Predictions for Higgs and Supersymmetry Spectra from SO(10) Yukawa Unification with μ&gt;0
Doubly-charged Higgs boson at a future electron-proton collider,Low- and high-energy phenomenology of a doubly charged scalar
Effect of Disorder on the Resistivity Anisotropy Near the Electronic Nematic Phase Transition in Pure and Electron-Doped BaFe2As2,Effect of Co Doping on the In-Plane Anisotropy in the Optical Spectrum of Underdoped Ba(Fe1−xCox)2As2
Phase diagrams of the three-dimensional semi-infinite Blume-Emery-Griffiths model,Blume-Emery-Griffiths-Potts model in two dimensions: Phase diagram and critical properties from a position-space renormalization group
Systematics and scaling of differential ionization cross sections in multicharged ion-atom collisions,Multielectron transitions resulting from interactions between target and projectile electrons in ionizing collisions
Light-Cone Structures and Sum Rules as Seen in the Parton Dual-Resonance Model,Scale Invariance and Current Commutators Near the Light Cone
Lattice dynamics and hyperfine interactions in ZnF2 single crystals,Effect of one-dimensional modes on the Lamb-Mössbauer recoilless factor and second-order Doppler shift of Zn2+ in a ZnF2 crystal in the temperature range 0–55.3 K
Brownian particles in supramolecular polymer solutions,Optical Measurements of Frequency-Dependent Linear Viscoelastic Moduli of Complex Fluids
Fractional topological phase in one-dimensional flat bands with nontrivial topology,Anomalous Quantum Hall Effect: An Incompressible Quantum Fluid with Fractionally Charged Excitations
Cosmic microwave background and parametric resonance in reheating,Spontaneous creation of almost scale-free density perturbations in an inflationary universe
Quantum dynamics of a Josephson junction driven cavity mode system in the presence of voltage bias noise,Cooper Pair Cotunneling in Single Charge Transistors with Dissipative Electromagnetic Environment
Optimal light storage in atomic vapor,Universal Approach to Optimal Photon Storage in Atomic Media
Cold-dark-matter cosmology with non-Gaussian fluctuations from inflation,Nonlinear evolution of long-wavelength metric fluctuations in inflationary models
Remarks on the Chern-Simons photon term in the QED description of graphene,Chiral Gauge Theory for Graphene
Surface dynamics of rough magnetic films,Super-Poissonian Shot Noise of Squeezed-Magnon Mediated Spin Transport
Strong field line shapes and photon statistics from a single molecule under anomalous noise,Modeling distributed kinetics in isolated semiconductor quantum dots
Performance enhancement of a decoy-state quantum key distribution using a conditionally prepared down-conversion source in the Poisson distribution,Long-distance entanglement-based quantum key distribution
"Line strengths of QED-sensitive forbidden transitions in B-, Al-, F- and Cl-like ions",Relativistic multireference many-body perturbation-theory calculations on the multiple openshell states in siliconlike Ar and aluminumlike Fe ions
Multiphoton entanglement and interferometry,Concentrating partial entanglement by local operations
Dipolar Glass State in K1−xNaxTaO3,Dielectric susceptibility in quantum ferroelectrics
Model for fermion mass matrices and the origin of quark-lepton mass relations,Lepton and quark mass matrices
Preparation and properties of highly tetrahedral hydrogenated amorphous carbon,Theory of diamondlike amorphous carbon
Guided simulated annealing method for optimization problems,Global Optimization by Energy Landscape Paving
System-time entanglement in a discrete-time model,General Monogamy Inequality for Bipartite Qubit Entanglement
Elastic scattering theory and transport in graphene,Electron Localization Properties in Graphene
Violations of the equivalence principle in a dilaton-runaway scenario,Tensor-scalar gravity and binary-pulsar experiments
Formations of loose clusters in an unbound region of 12Be,Properties of microscopic nucleus-nucleus interaction for molecular resonance formation in 12C+12C and 3α+3α systems
Ultrahigh-pressure phases of H2O ice predicted using an adaptive genetic algorithm,Phase Diagram and Electrical Conductivity of High Energy-Density Water from Density Functional Theory
Interpretations of the ATLAS diboson resonances,Search for new phenomena in the dijet mass distribution using pp collision data at s=8  TeV with the ATLAS detector
Optical model potential for deuteron elastic scattering with 1p-shell nuclei,Elastic scattering and breakup of Be11 on protons at 26.9A MeV
Asymmetric-top description of Rydberg-electron dynamics in crossed external fields,Quasi-Landau Spectrum of the Chaotic Diamagnetic Hydrogen Atom
Radiation-induced magnetotransport in high-mobility two-dimensional systems: Role of electron heating,Green’s-function approach to nonlinear electronic transport for an electron-impurity-phonon system in a strong electric field
Energy-Level Statistics of Integrable Quantum Systems,Statistical Behavior of Atomic Energy Levels: Agreement with Random-Matrix Theory
Resonant-state solution of the Faddeev-Merkuriev integral equations for three-body systems with Coulomb potentials,Coulomb-Sturmian separable expansion approach: Three-body Faddeev calculations for Coulomb-like interactions
Superconductivity in the ferromagnetic semiconductor samarium nitride,Semiconducting ground state of GdN thin films
Evidence of electronic shell structure in Cs-O clusters,Electronic Shell Structure and Abundances of Sodium Clusters
Mechanisms for Metal-Nonmental Transitions in Transition-Metal Oxides and Sulfides,Antiferromagnetism in Ti2O3
Quantum friction between graphene sheets,Finite-temperature Casimir effect for graphene
Photoionization of Ca in a static electric field,Evolution of barium autoionizing Stark spectra with energy and field
Precompound Monte-Carlo model for cluster induced reactions,Proton Spectra from 54.8-MeV Alpha-Particle Reactions: Precompound Emission
Toy model for topology change transitions: Role of curvature corrections,Quantum corrections to critical phenomena in gravitational collapse
Localization transition in SU(3) gauge theory,Universality and the QCD Anderson Transition
Absence of long-range order in the frustrated magnet SrDy2O4 due to trapped defects from a dimensionality crossover,Evidence for SrHo2O4 and SrDy2O4 as model J1-J2 zigzag chain materials
Deterministically swapping frequency-bin entanglement from photon-photon to atom-photon hybrid systems,Large-scale modular quantum-computer architecture with atomic memory and photonic interconnects
Methods for a linear optical quantum Fredkin gate,Linear optical controlled-NOT gate in the coincidence basis
Optical conductivity of metal nanofilms and nanowires: The rectangular-box model,Mode coupling in quantized high-quality films
Charge-state dependence of energy loss of MeV dimers in GaAs(100),Disentangling molecular alignment and enhanced ionization in intense laser fields
"Glassy slowing of stripe modulation in (La,Eu,Nd)2−x(Sr,Ba)xCuO4: A63Cu and 139La NQR study down to 350 mK",Nuclear Magnetic Resonance in MnF2 Near the Critical Point
Interface fluctuations in random media,Dynamic Scaling of Growing Interfaces
Phonon-glass dynamics in thermoelectric clathrates,Optical Conductivity Spectral Anomalies in the Off-Center Rattling System β−Ba8Ga16Sn30
Exclusive diffractive production of π+π−π+π− via the intermediate σσ and ρρ states in proton-proton collisions within tensor Pomeron approach,Hard Pomeron-odderon interference effects in the production of π+π− pairs in high energy γγ collisions at the LHC
Decay ϕ→f0(980)γ and the process e+e−→ϕf0(980),Scalar and vector meson exchange in V→P0P0γ decays
Adhesive switching of membranes: Experiment and theory,Wetting: statics and dynamics
Muon anomalous magnetic moment: A harbinger for “new physics”,Constraining anomaly mediated supersymmetry breaking framework via ongoing muon g−2 experiment at Brookhaven
Tuning the quantum phase transition of bosons in optical lattices via periodic modulation of the s-wave scattering length,Supersolid phase transitions for hard-core bosons on a triangular lattice
How to Compute Spectra with Error Control,Fractional Schrödinger equation
Liquidlike sloshing dynamics of monodisperse granulate,Collective Behavior in a Granular Jet: Emergence of a Liquid with Zero Surface Tension
Lattice dynamics of incipient ferroelectric rutile TiO2,"Electron correlations and electron-lattice interactions in the metal-insulator, ferroelastic transition in VO2: A thermodynamical study"
Classical nucleation theory in ordering alloys precipitating with L12 structure,First-principles calculations of bulk and interfacial thermodynamic properties for fcc-based Al-Sc alloys
Selection theory of free dendritic growth in a potential flow,Influence of an external flow on dendritic crystal growth
Valence-band electronic structure of MoS2 and Cs/MoS2(0002) studied by angle-resolved x-ray photoemission spectroscopy,Angle-resolved photoemission from crystal-field split d shells of adsorbed atoms
"Pinning, metastability, and sliding of charge-density waves in an electric field",Tunneling Theory of Charge-Density-Wave Depinning
